MONTH,DISTRICT,Cases,Temaxia,Total_Declared_Amount,Total_Accepted_Amount
01/2023,ΛΕΥΚΩΣΙΑ,301,354,46860940.54,52160383.54
02/2023,ΛΕΥΚΩΣΙΑ,378,416,49944814.85,58092077.82
03/2023,ΛΕΥΚΩΣΙΑ,433,482,68577722.8,79689357.9
04/2023,ΛΕΥΚΩΣΙΑ,311,353,40554253.69,47995594.43
05/2023,ΛΕΥΚΩΣΙΑ,478,558,88493130.58,100387785.4
06/2023,ΛΕΥΚΩΣΙΑ,490,572,80870473.56,92975940.41
07/2023,ΛΕΥΚΩΣΙΑ,,,,
08/2023,ΛΕΥΚΩΣΙΑ,,,,
09/2023,ΛΕΥΚΩΣΙΑ,,,,
10/2023,ΛΕΥΚΩΣΙΑ,,,,
11/2023,ΛΕΥΚΩΣΙΑ,,,,
12/2023,ΛΕΥΚΩΣΙΑ,,,,
01/2023,ΛΕΜΕΣΟΣ,383,434,136358651.7,140209447.2
02/2023,ΛΕΜΕΣΟΣ,388,432,99781610.15,104711267.7
03/2023,ΛΕΜΕΣΟΣ,362,402,126928722.4,131037423.5
04/2023,ΛΕΜΕΣΟΣ,366,469,138626808.1,143732021.5
05/2023,ΛΕΜΕΣΟΣ,511,565,152348136.2,164278139.3
06/2023,ΛΕΜΕΣΟΣ,452,505,122200696.2,127729102.2
07/2023,ΛΕΜΕΣΟΣ,,,,
08/2023,ΛΕΜΕΣΟΣ,,,,
09/2023,ΛΕΜΕΣΟΣ,,,,
10/2023,ΛΕΜΕΣΟΣ,,,,
11/2023,ΛΕΜΕΣΟΣ,,,,
12/2023,ΛΕΜΕΣΟΣ,,,,
01/2023,ΛΑΡΝΑΚΑ,216,257,38026746.94,41916279.82
02/2023,ΛΑΡΝΑΚΑ,241,266,47024376,51343705
03/2023,ΛΑΡΝΑΚΑ,277,297,46715169.78,52055919.7
04/2023,ΛΑΡΝΑΚΑ,284,299,35899953.56,40979754
05/2023,ΛΑΡΝΑΚΑ,320,334,69245557.86,80486004.93
06/2023,ΛΑΡΝΑΚΑ,375,455,68218494.32,77549329.82
07/2023,ΛΑΡΝΑΚΑ,,,,
08/2023,ΛΑΡΝΑΚΑ,,,,
09/2023,ΛΑΡΝΑΚΑ,,,,
10/2023,ΛΑΡΝΑΚΑ,,,,
11/2023,ΛΑΡΝΑΚΑ,,,,
12/2023,ΛΑΡΝΑΚΑ,,,,
01/2023,ΑΜΜΟΧΩΣΤΟΣ,44,44,4849015.86,6051353.86
02/2023,ΑΜΜΟΧΩΣΤΟΣ,92,104,19519710.86,22822407.86
03/2023,ΑΜΜΟΧΩΣΤΟΣ,85,88,14731085.29,16204508.29
04/2023,ΑΜΜΟΧΩΣΤΟΣ,67,73,18373958.97,19735620.01
05/2023,ΑΜΜΟΧΩΣΤΟΣ,91,115,15108572.56,17513461.97
06/2023,ΑΜΜΟΧΩΣΤΟΣ,124,134,15900858.11,20057312.99
07/2023,ΑΜΜΟΧΩΣΤΟΣ,,,,
08/2023,ΑΜΜΟΧΩΣΤΟΣ,,,,
09/2023,ΑΜΜΟΧΩΣΤΟΣ,,,,
10/2023,ΑΜΜΟΧΩΣΤΟΣ,,,,
11/2023,ΑΜΜΟΧΩΣΤΟΣ,,,,
12/2023,ΑΜΜΟΧΩΣΤΟΣ,,,,
01/2023,ΠΑΦΟΣ,244,262,44120723.4,47810475.4
02/2023,ΠΑΦΟΣ,247,260,43881547.89,48033324.91
03/2023,ΠΑΦΟΣ,209,226,48505584.87,52144339.31
04/2023,ΠΑΦΟΣ,201,213,47718511.75,49682711.65
05/2023,ΠΑΦΟΣ,340,388,78010911.14,84394940.46
06/2023,ΠΑΦΟΣ,366,391,75560526.95,83029451.16
07/2023,ΠΑΦΟΣ,,,,
08/2023,ΠΑΦΟΣ,,,,
09/2023,ΠΑΦΟΣ,,,,
10/2023,ΠΑΦΟΣ,,,,
11/2023,ΠΑΦΟΣ,,,,
12/2023,ΠΑΦΟΣ,,,,
